Operator,Audio File,Start,Stop,Label,Timestamp,Comments
Simon,call_20240919_023.wav,71.0,73.0,LOCATION,2026-03-24 21:10:34,
Simon,call_20240919_023.wav,67.0,69.0,LOCATION,2026-03-24 21:10:34,
Simon,call_20240919_023.wav,55.0,60.0,LOCATION,2026-03-24 21:10:34,
Simon,call_20240919_023.wav,27.0,33.0,PERSON,2026-03-24 21:10:34,
Simon,call_20240919_023.wav,71.0,73.0,LOCATION,2026-03-24 21:08:57,
Simon,call_20240919_023.wav,67.0,69.0,LOCATION,2026-03-24 21:08:57,
Simon,call_20240919_023.wav,55.0,60.0,LOCATION,2026-03-24 21:08:57,
Simon,call_20240919_023.wav,32.0,33.0,PERSON,2026-03-24 21:08:57,
Simon,call_20240919_023.wav,27.0,31.0,PERSON,2026-03-24 21:08:57,
Simon,call_20240920_001.wav,167.0,171.0,LOCATION,2026-03-24 20:59:32,
Simon,call_20240920_001.wav,97.0,98.0,LOCATION,2026-03-24 20:59:32,
Simon,call_20240920_001.wav,64.0,65.0,LOCATION,2026-03-24 20:59:32,
Simon,call_20240920_001.wav,60.0,62.0,LOCATION,2026-03-24 20:59:32,
Simon,call_20240920_001.wav,29.4,33.0,PERSON,2026-03-24 20:59:32,
Simon,call_20240920_001.wav,167.0,171.0,LOCATION,2026-03-24 20:57:50,
Simon,call_20240920_001.wav,97.0,98.0,LOCATION,2026-03-24 20:57:50,
Simon,call_20240920_001.wav,64.0,65.0,LOCATION,2026-03-24 20:57:50,
Simon,call_20240920_001.wav,60.0,62.0,LOCATION,2026-03-24 20:57:50,
Simon,call_20240920_001.wav,29.0,33.0,PERSON,2026-03-24 20:57:50,
Simon,call_20240920_001.wav,167.0,171.0,LOCATION,2026-03-24 20:56:17,
Simon,call_20240920_001.wav,97.0,98.0,LOCATION,2026-03-24 20:56:17,
Simon,call_20240920_001.wav,64.0,65.0,LOCATION,2026-03-24 20:56:17,
Simon,call_20240920_001.wav,60.0,62.0,LOCATION,2026-03-24 20:56:17,
Simon,call_20240920_001.wav,29.0,31.0,PERSON,2026-03-24 20:56:17,
Simon,call_20240920_001.wav,167.0,171.0,LOCATION,2026-03-24 20:55:41,
Simon,call_20240920_001.wav,97.0,98.0,LOCATION,2026-03-24 20:55:41,
Simon,call_20240920_001.wav,64.0,65.0,LOCATION,2026-03-24 20:55:41,
Simon,call_20240920_001.wav,60.0,62.0,LOCATION,2026-03-24 20:55:41,
Simon,call_20240920_001.wav,30.0,32.0,PERSON,2026-03-24 20:55:41,
Simon,call_20240920_001.wav,97.0,98.0,LOCATION,2026-03-24 20:54:32,
Simon,call_20240920_001.wav,64.0,65.0,LOCATION,2026-03-24 20:54:32,
Simon,call_20240920_001.wav,60.0,62.0,LOCATION,2026-03-24 20:54:32,
Simon,call_20240920_001.wav,30.0,32.0,PERSON,2026-03-24 20:54:32,
Simon,call_20240923_001.wav,207.0,208.0,LOCATION,2026-03-24 20:45:03,
Simon,call_20240923_001.wav,182.0,183.0,LOCATION,2026-03-24 20:45:03,
Simon,call_20240923_001.wav,152.0,154.0,PERSON,2026-03-24 20:45:03,
Simon,call_20240923_001.wav,36.0,40.0,PERSON,2026-03-24 20:45:03,
Simon,call_20240923_001.wav,30.0,34.0,PERSON,2026-03-24 20:45:03,
Simon,call_20240923_001.wav,207.0,208.0,LOCATION,2026-03-24 20:44:08,
Simon,call_20240923_001.wav,182.0,183.0,LOCATION,2026-03-24 20:44:08,
Simon,call_20240923_001.wav,152.0,154.0,PERSON,2026-03-24 20:44:08,
Simon,call_20240923_001.wav,35.8,40.0,PERSON,2026-03-24 20:44:08,
Simon,call_20240923_001.wav,30.0,34.0,PERSON,2026-03-24 20:44:08,
Simon,call_20240923_001.wav,207.0,208.0,LOCATION,2026-03-24 20:43:15,
Simon,call_20240923_001.wav,182.0,183.0,LOCATION,2026-03-24 20:43:15,
Simon,call_20240923_001.wav,152.0,154.0,PERSON,2026-03-24 20:43:15,
Simon,call_20240923_001.wav,36.8,40.0,PERSON,2026-03-24 20:43:15,
Simon,call_20240923_001.wav,30.0,34.0,PERSON,2026-03-24 20:43:15,
Simon,call_20240923_001.wav,207.0,208.0,LOCATION,2026-03-24 20:40:56,
Simon,call_20240923_001.wav,182.0,183.0,LOCATION,2026-03-24 20:40:56,
Simon,call_20240923_001.wav,152.0,154.0,PERSON,2026-03-24 20:40:56,
Simon,call_20240923_001.wav,37.0,40.0,PERSON,2026-03-24 20:40:56,
