ID,Filename,Output File,Status,Method,Created,Duration (s),Size (KB),Gender,Language,Surrogate,Error
1264,call_20230504_018.wav,anonymized_20260220_094641_327.wav,completed,both,2026-02-20 09:46:09,31.57,20886.6,female,english,english_female_person_PERSON,
1263,call_20230504_018.wav,anonymized_20260220_094010_322.wav,completed,both,2026-02-20 09:39:29,41.25,20886.6,female,english,english_female_person_PERSON,
1262,call_20230523_001.wav,anonymized_20260220_091932_164.wav,completed,both,2026-02-20 09:19:22,11.89,10106.3,female,english,english_female_person_PERSON,
1261,call_20230523_001.wav,anonymized_20260220_091913_685.wav,completed,both,2026-02-20 09:18:49,25.09,10106.3,female,english,english_female_person_PERSON,
1260,call_20230523_001.wav,anonymized_20260220_091713_895.wav,completed,both,2026-02-20 09:16:53,20.80,10106.3,female,english,english_female_person_PERSON,
1259,call_20230523_001.wav,anonymized_20260220_091556_602.wav,completed,both,2026-02-20 09:15:34,21.87,10106.3,female,english,english_female_person_PERSON,
1258,call_20230517_014.wav,anonymized_20260220_084134_290.wav,completed,both,2026-02-20 08:41:25,9.05,4026.6,female,english,english_female_person_PERSON,
1257,call_20230516_029.wav,anonymized_20260220_082031_170.wav,completed,both,2026-02-20 08:20:20,10.79,3716.3,male,english,english_male_person_PERSON,
1256,call_20230508_021.wav,anonymized_20260219_154205_625.wav,completed,both,2026-02-19 15:42:02,3.57,2481.9,female,english,english_female_person_PERSON,
1255,call_20220928_005.wav,anonymized_20260219_150456_384.wav,completed,both,2026-02-19 15:04:53,2.76,2758.8,female,english,english_female_person_PERSON,
1254,call_20220926_002.wav,anonymized_20260219_150041_295.wav,completed,both,2026-02-19 15:00:32,9.33,3009.4,male,english,english_male_location_LOCATION,
1253,call_20230503_001.wav,anonymized_20260219_145139_693.wav,completed,both,2026-02-19 14:51:30,8.92,2664.7,female,english,english_female_person_PERSON,
1252,call_20230417_002.wav,anonymized_20260219_144157_279.wav,completed,both,2026-02-19 14:41:48,8.38,3775.4,male,english,english_male_person_PERSON,
1251,call_20230413_001.wav,anonymized_20260219_143407_928.wav,completed,both,2026-02-19 14:34:03,4.19,2579.1,male,english,english_male_person_PERSON,
1250,call_20230413_001.wav,anonymized_20260219_143257_386.wav,completed,both,2026-02-19 14:32:51,5.98,2579.1,male,english,english_male_person_PERSON,
1249,call_20230412_003.wav,anonymized_20260219_134730_178.wav,completed,both,2026-02-19 13:47:24,5.49,2384.4,female,english,english_female_person_PERSON,
1248,call_20230412_003.wav,anonymized_20260219_134658_111.wav,completed,both,2026-02-19 13:46:55,2.35,2384.4,female,english,english_female_person_PERSON,
1247,call_20230410_001.wav,anonymized_20260219_133807_334.wav,completed,both,2026-02-19 13:37:50,16.59,12050.4,male,english,english_male_person_PERSON,
1246,call_20230406_003.wav,anonymized_20260219_124559_770.wav,completed,both,2026-02-19 12:45:52,7.11,5427.2,female,english,english_female_person_PERSON,
