Audio: call_20250318_003.wav
Total segments Simon: 54, Chris: 54
Matched segments: 300
Simon segments not matched: 6
Chris segments not matched: 0

Matched segments (label, op1 start-stop, op2 start-stop, overlap):
  PERSON [436.0-438.0] vs [436.4-438.0], overlap: 1.60
  PERSON [436.0-438.0] vs [436.45-438.0], overlap: 1.55
  PERSON [436.0-438.0] vs [436.6-438.0], overlap: 1.40
  PERSON [436.0-438.0] vs [436.6-438.0], overlap: 1.40
  PERSON [436.0-438.0] vs [436.6-438.0], overlap: 1.40
  PERSON [436.0-438.0] vs [436.8-438.0], overlap: 1.20
  USER_ID [420.0-435.0] vs [420.4-435.5], overlap: 14.60
  USER_ID [420.0-435.0] vs [420.5-435.5], overlap: 14.50
  USER_ID [420.0-435.0] vs [420.5-435.5], overlap: 14.50
  USER_ID [420.0-435.0] vs [420.5-435.5], overlap: 14.50
  USER_ID [420.0-435.0] vs [420.5-435.5], overlap: 14.50
  USER_ID [420.0-435.0] vs [420.7-435.5], overlap: 14.30
  PERSON [382.7-388.0] vs [386.0-387.8], overlap: 1.80
  PERSON [382.7-388.0] vs [382.7-384.1], overlap: 1.40
  PERSON [382.7-388.0] vs [386.1-387.8], overlap: 1.70
  PERSON [382.7-388.0] vs [382.8-384.1], overlap: 1.30
  PERSON [382.7-388.0] vs [386.1-387.8], overlap: 1.70
  PERSON [382.7-388.0] vs [382.8-384.1], overlap: 1.30
  PERSON [382.7-388.0] vs [386.1-387.8], overlap: 1.70
  PERSON [382.7-388.0] vs [382.8-384.1], overlap: 1.30
  PERSON [382.7-388.0] vs [386.1-387.8], overlap: 1.70
  PERSON [382.7-388.0] vs [382.8-384.1], overlap: 1.30
  PERSON [382.7-388.0] vs [386.4-388.0], overlap: 1.60
  PERSON [382.7-388.0] vs [383.0-384.3], overlap: 1.30
  LOCATION [300.0-303.0] vs [299.8-302.5], overlap: 2.50
  LOCATION [300.0-303.0] vs [299.8-302.5], overlap: 2.50
  LOCATION [300.0-303.0] vs [299.8-302.5], overlap: 2.50
  LOCATION [300.0-303.0] vs [299.8-302.5], overlap: 2.50
  LOCATION [300.0-303.0] vs [299.85-302.5], overlap: 2.50
  LOCATION [300.0-303.0] vs [300.0-302.7], overlap: 2.70
